SL_Number,Season,Goal Keeper,Nationality,Club,Clean Sheet
1,1992-93,Bobby Mimms,England,Blackburn Rovers,19
2,1993-94,David Seaman,England,Arsenal,19
3,1994-95,Peter Schmeichel,Denmark,Manchester United,18
4,1995-96,Peter Schmeichel,Denmark,Manchester United,18
5,1996-97,Nigel Martyn,England,Leeds United,19
6,1997-98,Peter Schmeichel,Denmark,Manchester United,16
7,1998-99,David Seaman,England,Arsenal,19
8,1999-2000,Ed de Goey,Netherlands,Chelsea,16
9,2000–01,Fabien Barthez,France,Manchester United,14
10,2000–01,Paul Jones,Wales,Southampton,14
11,2000–01,Sander Westerveld,Netherlands,Liverpool,14
12,2001–02,Nigel Martyn,England,Leeds United,18
13,2002–03,Brad Friedel,United States,Blackburn Rovers,15
14,2003–04,Edwin van der Sar,Netherlands,Fulham,15
15,2003–04,Jens Lehman,Germany,Arsenal,15
16,2004–05,Petr Čech, Czech Republic ,Chelsea,24
17,2005–06 ,Pepe Reina, Spain ,Liverpool ,20
18,2006–07 ,Pepe Reina , Spain ,Liverpool ,19
19,2007–08 ,Pepe Reina, Spain ,Liverpool ,18
20,2008–09 ,Edwin van der Sar, Netherlands ,Manchester United,21
21,2009–10 ,Petr Čech, Czech Republic ,Chelsea,17
22,2010–11 ,Joe Hart, England ,Manchester City ,18
23,2011–12 ,Joe Hart, England ,Manchester City,17
24,2012–13 ,Joe Hart, England ,Manchester City ,18
25,2013–14,Petr Čech, Czech Republic ,Chelsea ,16
26,2013–14,Wojciech Szczęsny, Poland ,Arsenal ,16
27,2014–15 ,Joe Hart, England ,Manchester City ,14
28,2015–16 ,Petr Čech, Czech Republic ,Arsenal ,16
29,2016–17 ,Thibaut Courtois, Belgium ,Chelsea,16
30,2017–18 ,David de Gea, Spain ,Manchester United ,18
31,2018–19 ,Alisson, Brazil ,Liverpool ,21
32,2019–20 ,Ederson, Brazil ,Manchester City ,16
33,2020–21 ,Ederson, Brazil ,Manchester City,19
34,2021–22,Ederson, Brazil ,Manchester City,20
35,2021–22,Alisson, Brazil ,Liverpool ,20
36,2022–23 ,David de Gea, Spain ,Manchester United ,17
37,2023–24,David Raya, Spain ,Arsenal,16
