SL_Number,Player,Goals
1,  Alan Shearer,260
2,  Harry Kane,213
3,  Wayne Rooney,208
4,  Andrew Cole,187
5,  Frank Lampard,177
6,  Robbie Fowler,163
7,  Jermain Defoe,162
8,  Michael Owen,150
9,  Les Ferdinand,149
10,  Teddy Sheringham,146
11,  Jamie Vardy,136
12,  Steven Gerrard,120
13,  Raheem Sterling,115
14,  Ian Wright,113
15,  Dion Dublin,111
16,  Emile Heskey,110
17,  Peter Crouch,108
18,  Paul Scholes,107
19,  Darren Bent,106
20,  Matthew Le Tissier,100
21,  Kevin Phillips,92
22,  James Beattie,91
23,  Kevin Davies,88
24,  Kevin Campbell,83
25,  Chris Sutton,83
26,  Theo Walcott,80
27,  Callum Wilson,79
28,  Tony Cottee,78
29,  Marcus Rashford,76
30,  Daniel Sturridge,76
