Sl_Number,Club,12,13,14,15,16,17,18,19,20,21,22,23
1,AFC Bournemouth,-,-,-,Mansion Group,Mansion Group,M88,M88,M88,-,-,Dafabet,Dafabet
2,Arsenal,Emirates,Emirates,Emirates,Emirates,Emirates,Emirates,Fly Emirates,Fly Emirates,Emirates,Emirates,Emirates,Emirates
3,Aston Villa,Genting Casinos,dafabet,dafabet,Intuit QuickBooks,-,-,-,W88,Cazoo,Cazoo,Cazoo,BK8
4,Brentford,-,-,-,-,-,-,-,-,-,Hollywoodbets,Hollywoodbets,Hollywoodbets
5,Brighton & Hove Albion,-,-,-,-,-,American Express,American Express,American Express,American Express,American Express,American Express,American Express
6,Burnley,-,-,fun88,-,Dafabet,Dafabet,LaBa360,LoveBet,LoveBet,Spreadex Sports,-,W88
7,Cardiff City,-,Malaysia,-,-,-,-,Tourism Malaysia,-,-,-,-,-
8,Chelsea,Samsung,Samsung,Samsung,Yokohama,Yokohama,Yokohama,Yokohama,Yokohama,Three,Three,Three,Infinite Athlete
9,Crystal Palace,-,GAC Logistics,Neteller,Mansion Group,Mansion Group,ManBetX,ManBetX,ManBetX,ManBetX,W88,Cinch,Cinch
10,Everton,Chang ,Chang ,Chang,Chang ,Chang ,SportPesa,SportPesa,SportPesa,Cazoo,Cazoo,Stake.com,Stake.com
11,Fulham,FxPro,Marathon bet,-,-,-,-,Dafabet,-,-,-,World Mobile,SBOTOP
12,Huddersfield Town,-,-,-,-,-,OPE Sports,OPE Sports,-,-,-,-,-
13,Hull City,-,Cash Converters,12BET,-,SportPesa,-,-,-,-,-,-,-
14,Leeds United,-,-,-,-,-,-,-,-,SBOTOP,SBOTOP,SBOTOP,-
15,Leicester City,-,-,King Power,King Power,King Power,King Power,King Power,King Power,Thailand Tourism,FBS,FBS,-
16,Liverpool,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered,Standard Chartered
17,Luton Town,-,-,-,-,-,-,-,-,-,-,-,Utilita
18,Manchester City,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,   Etihad   Airways,Etihad   Airways,Etihad Airways,Etihad   Airways
19,Manchester United,Aon,Aon,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Chevrolet,Chevrolet,TeamViewer,TeamViewer,TeamViewer
20,Middlesbrough,-,-,-,-,Ramsdens,-,-,-,-,-,-,-
21,Newcastle United,Virgin Money,Wonga,Wonga,Wonga,-,Fun88,Fun88,Fun88,Fun88,Fun88,FUN88,Sela
22,Norwich City,Aviva,Aviva,-,Aviva,-,-,-,DafaBet,-,Lotus Cars,-,-
23,Nottingham Forest,-,-,-,-,-,-,-,-,-,-,Football Index,Kaiyun Sports
24,Queens Park Rangers,AirAsia,-,AirAsia,-,-,-,-,-,-,-,-,-
25,Reading,Waitrose,-,-,-,-,-,-,-,-,-,-,-
26,Sheffield United,-,-,-,-,-,-,-,Union Standard Group,Union Standard Group,-,-,CFI Financial Group
27,Southampton,aap3,aap3,Veho,Veho,Virgin Media,Virgin Media,Virgin Media,Virgin Media,LD Sports,Sportsbet.io,Sportsbet.io,-
28,Stoke City,Bet365,Bet365,Bet365,Bet365,Bet365,Bet365,-,-,-,-,-,-
29,Sunderland,Invest in Africa,Bidvest,BFS Group,Dafabet,Dafabet,-,-,-,-,-,-,-
30,Swansea City,32Red,GWFX,GWFX,GWFX,BetEasy,Letou,-,-,-,-,-,-
31,Tottenham Hotspur,Aurasma Investec (cup), hp (league)  AIA (cup),AIA,AIA,AIA,AIA,AIA,AIA,AIA,AIA,AIA,AIA
32,Watford,-,-,-,138.com,138.com,FxPro,FxPro,Sportsbet.io,-,Stake.com,-,-
33,West Bromwich Albion,Zoopla,Zoopla,Intuit QuickBooks,TLCBET,UK-K8.com,Palm,-,-,Ideal Boliers,-,-,-
34,West Ham United,Sbobet,Alpari,Alpari,Betway,Betway,Betway,Betway,Betway,Betway,Betway,Betway,Betway
35,Wigan Athletic,12BET,-,-,-,-,-,-,-,-,-,-,-
36,Wolverhampton Wanderers,-,-,-,-,-,-,W88,ManBetX,ManBetX,ManBetX,AstroPay,AstroPay
